Группа;ФИО;ТПРИ;ПрТ;АС;ТРПОСУ;Эк;ТППО;СПО;КОСиПВ;МСиСвИТ;АГД;ОУИС;АЭВМ;ПМУ;ПиОИвИС;ИМС;СтЦУ;КС;СвСУ;ИнЯз;ИнЯз;ОЗИ;ЭС;ТЭЦ;УЗИ;ОАиП;СОИвАТ;ХДиOLAPC;ООПвСУ;ИОСУ;ПИС;ЯПИС;Логика;ТМОИС;МПвСУ;ПНЭ;ЕЯзИИС;БиБД;ИТПИС;МаОсИС;ТОИИТ;УпрП;ПБЗ;ППОИС;СТЗ;ИГИСиТ;ТЭДиРАТ;БД;ПДиЗвИ;ДМ;ОБиПвИТ;ТППиЗД;ИДОиСУ;РиПП;ТехМ;ИП;ТПИ;ТиОАПК;ЛОИС;АПЭЦ;БЖЧ;САП;ФиМН;ПЗС;ТАУ;ССП;АиПОСиЗИ;ЭиУСУ;САиИО;ИстБГ;СпецП;СтатОИВ;Физика;ФизК;ПИиПвИО;ТИЗ;ЗиТПД;ОИнфБ;ТМ;АО;ТВиМС;ММИПиУ;ДВ;ПЭУиС;МПТ;РВМ;ВОВСНВМВ;ВМиКА;МА;ТВиА;ИКГ;СТПБЗ;РусЯзкакИ;РусЯзкакИ;УиЭОАТ;ООПиП;ПГиЗ;ЭП;АПОЭВМиС;АОИС;АиПРП;МОТС;ТелеМ;РИК
770301;Студ 71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8 3 8 8 8 7 9 8 9 8 ;0;0;0;0;0;9 8 8 8 8 8 ;0;0;0;0;0;0;3 5 7 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7 7 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10 10 10 10 10 9 10 10 ;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8 9 8 8 9 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
771707;Студ 77;0;0;0;0;0;0;0;0;0;0;0;0;0;10 ;0;0;0;0;8 7 7 8 3 7 3 8 ;0;0;0;0;0;0;0;0;0;0;0;0;7 7 7 ;9 9 10 9 8 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9 8 9 9 9 ;0;0;8 9 8 7 9 8 9 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9 9 7 8 3 8 5 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
775505;Студ 73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 ;0;0;0;0;0;8 3 ;0;0;0;0;0;0;7 7 3 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8 8 ;0;0;3 3 3 5 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7 8 8 ;0;0;0;0;0;0;9 9 8 8 ;0;0;0;0;0;0;0;0
771703;Студ 75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 ;0;0;0;0;0;0;0;0;0;0;0;0;7 7 8 ;9 7 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9 9 10 8 ;0;0;5 3 7 7 3 7 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9 9 9 7 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
777503;Студ 75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8 8 8 8 8 8 7 7 7 8 8 7 7 7 8 8 ;0;0;0;0;0;9 7 8 8 9 ;0;0;0;0;0;0;7 5 8 9 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7 7 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7 9 8 8 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10 7 8 ;0;0;0;0;0;0;0;0;0;0;0;0;9 9 8 ;0;0
770301;Студ 73;0;0;0;0;0;0;0;0;0;0;0;10 ;0;0;0;0;0;0;8 9 9 5 8 9 9 9 10 ;0;0;0;0;0;9 7 8 8 ;0;0;0;0;0;0;8 3 7 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7 7 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9 10 10 10 10 10 10 ;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9 9 10 9 9 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
770303;Студ 77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9 9 10 8 8 9 9 8 8 8 8 ;0;0;0;0;0;8 7 7 8 7 ;0;0;0;0;0;0;8 7 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7 7 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9 10 9 9 9 10 9 ;0;0;7 5 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9 10 9 9 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
770305;Студ 78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8 7 8 8 8 8 9 9 9 9 9 9 8 8 9 9 9 9 9 9 ;0;0;0;0;0;8 8 7 8 ;0;0;0;0;0;0;7 7 5 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7 7 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9 ;0;0;3 9 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7 5 7 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
770303;Студ 79;0;0;0;0;0;0;0;0;0;0;0;9 ;0;0;0;0;0;0;8 7 7 7 7 9 9 8 10 9 9 9 7 7 9 8 5 3 ;0;0;0;0;0;8 7 8 7 7 ;0;0;0;0;0;0;7 3 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7 5 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7 5 3 8 ;0;0;8 5 5 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8 3 7 7 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
770305;Студ 30;0;0;0;0;0;0;0;0;0;0;0;8 ;0;0;0;0;0;0;7 7 7 7 7 7 8 7 8 7 8 7 7 7 8 7 8 7 8 8 ;0;0;0;0;0;7 8 8 7 ;0;0;0;0;0;0;7 7 7 7 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7 7 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8 ;0;0;8 5 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8 3 9 8 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
775505;Студ 31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 ;0;0;0;0;0;3;0;0;0;0;0;0;7 8 7 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9 9 9 ;0;0;5 5 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7 5 8 ;0;0;0;0;0;0;7 8 7 8 ;0;0;0;0;0;0;0;0
771707;Студ 37;0;0;0;0;0;0;0;0;0;0;0;0;0;10 ;0;0;0;0;9 10 9 9 9 9 9 10 ;0;0;0;0;0;0;0;0;0;0;0;0;7 8 8 ;10 9 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8 10 10 8 ;0;0;3 7 3 7 3 8 3 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10 10 8 9 10 9 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
770303;Студ 33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7 8 8 7 7 10 7 9 9 3 8 8 8 7 9 8 8 ;0;0;0;0;0;8 8 8 8 ;0;0;0;0;0;0;3 9 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7 7 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9 8 9 ;0;0;3 7 5 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8 5 7 8 9 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
770303;Студ 35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8 8 8 9 7 9 9 9 10 10 8 10 8 9 8 8 9 7 3 ;0;0;0;0;0;8 8 3 ;0;0;0;0;0;0;8 8 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7 3 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9 8 8 ;0;0;3 7 5 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3 5 5 3 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
771707;Студ 35;0;0;0;0;0;0;0;0;0;0;0;0;0;10 ;0;0;0;0;9 8 8 9 8 9 8 9 ;0;0;0;0;0;0;0;0;0;0;0;0;7 7 8 ;10 9 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8 9 9 9 9 ;0;0;7 9 9 9 9 9 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9 9 7 8 10 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
771707;Студ 33;0;0;0;0;0;0;0;0;0;0;0;0;0;10 ;0;0;0;0;3 8 7 3 7 7 3 7 ;0;0;0;0;0;0;0;0;0;0;0;0;7 7 7 ;10 9 9 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9 9 8 10 8 9 ;0;0;8 9 8 7 9 8 9 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3 9 3 3 5 8 5 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
777503;Студ 37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8 9 9 9 8 9 9 8 9 8 8 8 9 9 9 9 9 ;0;0;0;0;0;8 7 7 9 ;0;0;0;0;0;0;3 8 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7 7 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7 8 8 8 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7 7 ;0;0;0;0;0;0;0;0;0;0;0;0;9 9 ;0;0
770305;Студ 38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7 8 8 7 7 8 8 8 8 8 8 8 8 8 7 8 7 7 8 8 8 ;0;0;0;0;0;3 8 8 ;0;0;0;0;0;0;7 7 3 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7 7 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9 9 ;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3 9 9 7 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
777503;Студ 39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8 8 8 7 9 7 8 8 9 8 7 8 9 9 9 9 9 ;0;0;0;0;0;9 8 8 8 8 9 ;0;0;0;0;0;0;7 3 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7 3 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5 7 3 7 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3 5 5 ;0;0;0;0;0;0;0;0;0;0;0;0;9 7 ;0;0
777503;Студ 50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8 8 8 8 8 9 9 9 9 8 8 8 8 8 8 8 ;0;0;0;0;0;9 7 8 7 9 9 ;0;0;0;0;0;0;3 7 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7 7 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5 8 7 7 5 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5 3 3 ;0;0;0;0;0;0;0;0;0;0;0;0;8 9 ;0;0
770303;Студ 51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7 3 7 7 3 9 7 7 9 8 7 8 7 7 8 7 7 8 8 ;0;0;0;0;0;3 8 3 8 7 ;0;0;0;0;0;0;5 8 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7 7 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8 8 3 9 5 ;0;0;3 5 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8 3 3 3 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
